,tweet_id,name,stage,rating_numerator,rating_denominator,favorite_count,retweet_count,source,retweeted_status,url,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,date,time
0,892420643555336193,Phineas,None,13.0,10.0,38071,8327,Twitter for iPhone,Original tweet,https://t.co/MgUWQ76dJU,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,Orange,0.0970486,False,Bagel,0.08585110000000001,False,Banana,0.07611,False,08-01-2017,16:23
1,892177421306343426,Tilly,None,13.0,10.0,32681,6151,Twitter for iPhone,Original tweet,https://t.co/aQFSeaCu9L,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,08-01-2017,00:17
2,891815181378084864,Archie,None,12.0,10.0,24589,4069,Twitter for iPhone,Original tweet,https://t.co/r0YlrsGCgy,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,07-31-2017,00:18
3,891689557279858688,Darla,None,13.0,10.0,41429,8463,Twitter for iPhone,Original tweet,https://t.co/tD36da7qLQ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper Towel,0.17027799999999998,False,Labrador Retriever,0.168086,True,Spatula,0.0408359,False,07-30-2017,15:58
4,891327558926688256,Franklin,None,12.0,10.0,39599,9166,Twitter for iPhone,Original tweet,https://t.co/0g0KMIVXZ3,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,True,English Springer,0.22577,True,German Short-Haired Pointer,0.175219,True,07-29-2017,16:00
5,891087950875897856,None,None,13.0,10.0,19883,3047,Twitter for iPhone,Original tweet,https://t.co/xx5cilW0Dd,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake Bay Retriever,0.425595,True,Irish Terrier,0.116317,True,Indian Elephant,0.07690219999999999,False,07-29-2017,00:08
6,890971913173991426,Jax,None,13.0,10.0,11624,2021,Twitter for iPhone,Original tweet,https://t.co/MV01Q820LT,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.34170300000000003,True,Border Collie,0.199287,True,Ice Lolly,0.193548,False,07-28-2017,16:27
7,890729181411237888,None,None,13.0,10.0,64233,18473,Twitter for iPhone,Original tweet,https://t.co/hrcFOGi12V,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo Dog,0.17840599999999998,True,Pembroke,0.0765069,True,07-28-2017,00:22
8,890609185150312448,Zoey,None,13.0,10.0,27322,4189,Twitter for iPhone,Original tweet,https://t.co/UkrdQyoYxV,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish Terrier,0.487574,True,Irish Setter,0.193054,True,Chesapeake Bay Retriever,0.118184,True,07-27-2017,16:25
9,890240255349198849,Cassie,doggo,14.0,10.0,31350,7220,Twitter for iPhone,Original tweet,https://t.co/l3TSS3o2M0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,07-26-2017,15:59
10,890006608113172480,Koda,None,13.0,10.0,30127,7180,Twitter for iPhone,Original tweet,https://t.co/jy2alqaYPH,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True,07-26-2017,00:31
11,889880896479866881,Bruno,None,13.0,10.0,27312,4873,Twitter for iPhone,Original tweet,https://t.co/u1XPQMl29g,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French Bulldog,0.377417,True,Labrador Retriever,0.151317,True,Muzzle,0.0829811,False,07-25-2017,16:11
12,889665388333682689,None,puppo,13.0,10.0,47257,9844,Twitter for iPhone,Original tweet,https://t.co/BxvuXk0UCm,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True,07-25-2017,01:55
13,889638837579907072,Ted,None,12.0,10.0,26678,4445,Twitter for iPhone,Original tweet,https://t.co/f8dEDcrKSR,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French Bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire Bullterrier,0.00149818,True,07-25-2017,00:10
14,889531135344209921,Stuart,puppo,13.0,10.0,14845,2202,Twitter for iPhone,Original tweet,https://t.co/Ya3bdfYuCx,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,Golden Retriever,0.953442,True,Labrador Retriever,0.0138341,True,Redbone,0.00795775,True,07-24-2017,17:02
15,889278841981685760,Oliver,None,13.0,10.0,24799,5263,Twitter for iPhone,Original tweet,https://t.co/qw5xRwBaIv,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True,07-24-2017,00:19
16,888917238123831296,Jim,None,12.0,10.0,28613,4403,Twitter for iPhone,Original tweet,https://t.co/chxruIOUJN,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,Golden Retriever,0.714719,True,Tibetan Mastiff,0.120184,True,Labrador Retriever,0.105506,True,07-23-2017,00:22
17,888804989199671297,Zeke,None,13.0,10.0,25115,4203,Twitter for iPhone,Original tweet,https://t.co/L5cCoR2huQ,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,Golden Retriever,0.46976,True,Labrador Retriever,0.184172,True,English Setter,0.0734817,True,07-22-2017,16:56
18,888554962724278272,Ralphus,None,13.0,10.0,19484,3477,Twitter for iPhone,Original tweet,https://t.co/YnYAFCTTiK,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian Husky,0.700377,True,Eskimo Dog,0.166511,True,Malamute,0.111411,True,07-22-2017,00:23
19,888078434458587136,Gerald,None,12.0,10.0,21378,3420,Twitter for iPhone,Original tweet,https://t.co/UibDBnVpvR,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French Bulldog,0.995026,True,Pug,0.000931908,True,Bull Mastiff,0.000903211,True,07-20-2017,16:49
20,887705289381826560,Jeffrey,None,13.0,10.0,29654,5278,Twitter for iPhone,Original tweet,https://t.co/m7BR4JgDrZ,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,Basset,0.821664,True,Redbone,0.0875815,True,Weimaraner,0.026236400000000003,True,07-19-2017,16:06
21,887517139158093824,None,None,14.0,10.0,45468,11441,Twitter for iPhone,Original tweet,https://t.co/20VrLAA8ba,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,1,Limousine,0.130432,False,Tow Truck,0.0291754,False,Shopping Cart,0.0263208,False,07-19-2017,03:39
22,887473957103951883,Canela,None,13.0,10.0,67840,17798,Twitter for iPhone,Original tweet,https://t.co/cLyzpcUcMX,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,Pembroke,0.809197,True,Rhodesian Ridgeback,0.05495,True,Beagle,0.0389148,True,07-19-2017,00:47
23,887343217045368832,None,None,13.0,10.0,33103,10188,Twitter for iPhone,Original tweet,https://t.co/WZqNqygEyV,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,Mexican Hairless,0.330741,True,Sea Lion,0.275645,False,Weimaraner,0.134203,True,07-18-2017,16:08
24,887101392804085760,None,None,12.0,10.0,30041,5842,Twitter for iPhone,Original tweet,https://t.co/UgW2xbO7Rg,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,Samoyed,0.733942,True,Eskimo Dog,0.0350295,True,Staffordshire Bullterrier,0.029704700000000007,True,07-18-2017,00:07
25,886983233522544640,Maya,None,13.0,10.0,34549,7616,Twitter for iPhone,Original tweet,https://t.co/I6oNy0CgiT,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2,Chihuahua,0.793469,True,Toy Terrier,0.143528,True,Can Opener,0.0322529,False,07-17-2017,16:17
26,886736880519319552,Mingus,None,13.0,10.0,11847,3215,Twitter for iPhone,Original tweet,https://t.co/RipKYZ0T1u,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,Kuvasz,0.309706,True,Great Pyrenees,0.186136,True,Dandie Dinmont,0.08634630000000001,True,07-16-2017,23:58
27,886680336477933568,Derek,None,13.0,10.0,22043,4372,Twitter for iPhone,Original tweet,https://t.co/BCoWue0abA,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,1,Convertible,0.738995,False,Sports Car,0.139952,False,Car Wheel,0.0441727,False,07-16-2017,20:14
28,886366144734445568,Roscoe,pupper,12.0,10.0,20818,3137,Twitter for iPhone,Original tweet,https://t.co/iIu3AF8IWH,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1,French Bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston Bull,7.55616e-05,True,07-15-2017,23:25
